"year","name","value"
1,"risk",0.46
1,"annual",0.46
2,"risk",0.451
2,"annual",0.442
3,"risk",0.43
3,"annual",0.388
4,"risk",0.4015
4,"annual",0.316
5,"risk",0.3784
5,"annual",0.286
6,"risk",0.350666666666667
6,"annual",0.212
7,"risk",0.324
7,"annual",0.164
8,"risk",0.2975
8,"annual",0.112
9,"risk",0.272444444444444
9,"annual",0.072
10,"risk",0.2498
10,"annual",0.046
11,"risk",0.23
11,"annual",0.032
12,"risk",0.2125
12,"annual",0.02
13,"risk",0.197230769230769
13,"annual",0.014
14,"risk",0.184
14,"annual",0.012
15,"risk",0.1724
15,"annual",0.01
16,"risk",0.162125
16,"annual",0.008
17,"risk",0.152941176470588
17,"annual",0.006
18,"risk",0.144777777777778
18,"annual",0.006
19,"risk",0.137368421052632
19,"annual",0.004
20,"risk",0.1307
20,"annual",0.004
21,"risk",0.124666666666667
21,"annual",0.004
22,"risk",0.119181818181818
22,"annual",0.004
23,"risk",0.114173913043478
23,"annual",0.004
24,"risk",0.109583333333333
24,"annual",0.004
25,"risk",0.10536
25,"annual",0.004
26,"risk",0.101461538461538
26,"annual",0.004
27,"risk",0.0978518518518519
27,"annual",0.004
28,"risk",0.0945
28,"annual",0.004
29,"risk",0.0913793103448276
29,"annual",0.004
30,"risk",0.0884666666666667
30,"annual",0.004
31,"risk",0.085741935483871
31,"annual",0.004
32,"risk",0.0831875
32,"annual",0.004
33,"risk",0.0807878787878788
33,"annual",0.004
34,"risk",0.0785294117647059
34,"annual",0.004
35,"risk",0.0764
35,"annual",0.004
36,"risk",0.0743888888888889
36,"annual",0.004
37,"risk",0.0724864864864865
37,"annual",0.004
38,"risk",0.0706842105263158
38,"annual",0.004
39,"risk",0.068974358974359
39,"annual",0.004
40,"risk",0.06735
40,"annual",0.004
41,"risk",0.0658048780487805
41,"annual",0.004
42,"risk",0.0643333333333333
42,"annual",0.004
43,"risk",0.0629302325581395
43,"annual",0.004
44,"risk",0.0615909090909091
44,"annual",0.004
45,"risk",0.0603111111111111
45,"annual",0.004
46,"risk",0.0590869565217391
46,"annual",0.004
47,"risk",0.0579148936170213
47,"annual",0.004
48,"risk",0.0567916666666667
48,"annual",0.004
49,"risk",0.0557142857142857
49,"annual",0.004
50,"risk",0.05468
50,"annual",0.004
51,"risk",0.0536862745098039
51,"annual",0.004
52,"risk",0.0527307692307692
52,"annual",0.004
53,"risk",0.051811320754717
53,"annual",0.004
54,"risk",0.0509259259259259
54,"annual",0.004
55,"risk",0.0500727272727273
55,"annual",0.004
56,"risk",0.04925
56,"annual",0.004
57,"risk",0.0484561403508772
57,"annual",0.004
58,"risk",0.0476896551724138
58,"annual",0.004
59,"risk",0.0469491525423729
59,"annual",0.004
60,"risk",0.0462333333333333
60,"annual",0.004
61,"risk",0.0455409836065574
61,"annual",0.004
62,"risk",0.0448709677419355
62,"annual",0.004
63,"risk",0.0442222222222222
63,"annual",0.004
64,"risk",0.04359375
64,"annual",0.004
65,"risk",0.0429846153846154
65,"annual",0.004
66,"risk",0.0423939393939394
66,"annual",0.004
67,"risk",0.0418208955223881
67,"annual",0.004
68,"risk",0.0412647058823529
68,"annual",0.004
69,"risk",0.0407246376811594
69,"annual",0.004
70,"risk",0.0402
70,"annual",0.004
71,"risk",0.0396901408450704
71,"annual",0.004
72,"risk",0.0391944444444444
72,"annual",0.004
73,"risk",0.0387123287671233
73,"annual",0.004
74,"risk",0.0382432432432432
74,"annual",0.004
75,"risk",0.0377866666666667
75,"annual",0.004
76,"risk",0.0373421052631579
76,"annual",0.004
77,"risk",0.0369090909090909
77,"annual",0.004
78,"risk",0.0364871794871795
78,"annual",0.004
79,"risk",0.0360759493670886
79,"annual",0.004
80,"risk",0.035675
80,"annual",0.004
81,"risk",0.0352839506172839
81,"annual",0.004
82,"risk",0.0349024390243902
82,"annual",0.004
83,"risk",0.0345301204819277
83,"annual",0.004
84,"risk",0.0341666666666667
84,"annual",0.004
85,"risk",0.0338117647058824
85,"annual",0.004
86,"risk",0.0334651162790698
86,"annual",0.004
87,"risk",0.0331264367816092
87,"annual",0.004
88,"risk",0.0327954545454545
88,"annual",0.004
89,"risk",0.0324719101123596
89,"annual",0.004
90,"risk",0.0321555555555556
90,"annual",0.004
91,"risk",0.0318461538461538
91,"annual",0.004
92,"risk",0.0315434782608696
92,"annual",0.004
93,"risk",0.031247311827957
93,"annual",0.004
94,"risk",0.0309574468085106
94,"annual",0.004
95,"risk",0.0306736842105263
95,"annual",0.004
96,"risk",0.0303958333333333
96,"annual",0.004
97,"risk",0.0301237113402062
97,"annual",0.004
98,"risk",0.0298571428571429
98,"annual",0.004
99,"risk",0.0295959595959596
99,"annual",0.004
100,"risk",0.02934
100,"annual",0.004
